Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.91656	-73.778768	17		
M	40.915422	-73.771609	17		
M	40.915042	-73.785068	17		
M	40.914951	-73.785038	17		
M	40.908503	-73.782479	17		
M	40.908167	-73.782047	17		
M	40.908184	-73.782367	17		
M	40.909089	-73.780969	17		
M	40.946906	-73.795167	17		
M	40.917151	-73.785805	17		
M	40.909423	-73.781079	17		
M	40.908622	-73.782943	17		
M	40.908436	-73.782529	17		
M	40.908592	-73.781721	17		
M	40.90902	-73.780296	17		
M	40.908383	-73.784649	17		
M	40.907222	-73.78435	17		
M	40.914866	-73.772442	17		
M	40.920184	-73.764778	17		
M	40.909919	-73.780552	17		
M	40.908017	-73.783152	17		
M	40.90821	-73.78305	34		
M	40.917168	-73.785153	17		
M	40.915175	-73.78506	17		
M	40.909284	-73.780685	17		
M	40.919556	-73.786916	34		
M	40.897553	-73.795871	17		
M	40.902578	-73.790021	17		
M	40.905805	-73.785797	17		
M	40.910235	-73.796909	17		
M	40.910802	-73.779779	17		
M	40.90914	-73.780908	17		
M	40.919659	-73.788298	17		
M	40.902757	-73.789888	17		
M	40.894949	-73.788331	17		
M	40.911027	-73.779937	17		
M	40.909366	-73.779914	17		
M	40.905959	-73.792493	17		
M	40.912904	-73.774753	17		
M	40.899471	-73.792545	17		
M	40.984888	-73.777845	17		
M	40.922027	-73.787849	17		
M	40.908645	-73.783428	17		
M	40.90756	-73.783892	17		
M	40.910589	-73.792601	17		
M	40.984901	-73.777715	18		
M	40.915002	-73.78509	17		
M	40.895778	-73.77879	17		
M	40.905157	-73.788894	17		
M	40.909214	-73.795027	17		
M	40.909663	-73.79069	17		
M	40.917925	-73.786671	17		
M	40.907228	-73.793938	17		
M	40.914058	-73.784448	17		
M	40.902752	-73.789328	17		
M	40.92197	-73.772604	17		
M	40.896993	-73.796139	17		
M	40.914233	-73.784081	17		
M	40.910374	-73.781007	17		
M	40.910436	-73.782319	17		
M	40.927725	-73.778283	17		
M	40.984749	-73.777744	17		
M	40.906043	-73.777833	17		
M	40.909562	-73.796401	17		
M	40.910484	-73.781657	17		
M	40.909209	-73.78052	17		
M	40.920998	-73.787889	17		
M	40.908087	-73.781179	17		
M	40.914584	-73.77319	17		
M	40.917638	-73.785481	17		
M	40.914177	-73.78275	17		
M	40.912701	-73.792605	17		
M	40.914624	-73.772759	17		
M	40.909187	-73.794435	17		
M	40.980354	-73.776549	17		
M	40.921387	-73.788	17		
M	40.914315	-73.773646	17		
M	40.913973	-73.784439	17		
M	40.946788	-73.794301	17		
M	40.914806	-73.784921	17		
M	40.911765	-73.782306	17		
M	40.908923	-73.781893	17		
M	40.909787	-73.780905	17		
M	40.906024	-73.785372	17		
M	40.908283	-73.784621	17		
M	40.902177	-73.791579	17		
M	40.947442	-73.794188	17		
M	40.922198	-73.773541	17		
M	40.916327	-73.779128	17		
M	40.912137	-73.7901	17		
U	40.924081	-73.787357	12		
U	40.919236	-73.76614	12		
U	40.913873	-73.77646	12		
U	40.915593	-73.784572	12		
U	40.912235	-73.775118	12		
U	40.897792	-73.792985	12		
U	40.896427	-73.778535	12		
U	40.90363	-73.788582	12		
U	40.904487	-73.787622	12		
U	40.906394	-73.785745	12		
U	40.914656	-73.794007	12		
U	40.910604	-73.792234	12		
U	40.919799	-73.788882	12		
U	40.948384	-73.793129	12		
U	40.979968	-73.776318	12		
HH	40.911422	-73.784165	219		
M	40.929488	-73.767794	219		
M	40.922123	-73.772421	219		
M	40.911931	-73.782132	80		
M	40.92975	-73.76988	80		
M	40.928221	-73.769538	80		
M	40.927253	-73.773204	80		
M	40.903057	-73.790895	80		
M	40.898869	-73.794711	80		
M	40.947319	-73.795296	80		
